num,Economy,Code,Region,Income group,year,Internet value,Total population,GDP (US$),Life Expectancy (Years),GDP per capita income,Fertility (Births per woman)
699,Haiti,HTI,Latin America & Caribbean,Low income,2003,1.65,8976552,2960306120.93557,58.535,1377.4669942902,3.955
700,Honduras,HND,Latin America & Caribbean,Lower middle income,2003,4.8,7033821,8140271080.5604,71.15,2887.4966813488,3.693
701,"Hong Kong, China",NA,NA,NA,2003,52.2,NA,NA,NA,NA,NA
702,Hungary,HUN,Europe & Central Asia,High income,2003,21.63,10129552,85324771841.4118,72.3,15468.2990886584,1.27
703,Iceland,ISL,Europe & Central Asia,High income,2003,83.14,289521,11316441660.0399,80.9634146341,32340.3973980026,1.99
704,India,IND,South Asia,Lower middle income,2003,1.69,1108027848,607699299977.083,63.759,2545.9012899638,3.107
705,Indonesia,IDN,East Asia & Pacific,Lower middle income,2003,2.39,220545214,234772463823.808,66.82,5304.4210965956,2.513
706,Iran (Islamic Republic of),NA,NA,NA,2003,6.93,NA,NA,NA,NA,NA
707,Iraq,IRQ,Middle East & North Africa,Upper middle income,2003,0.6,25627626,NA,68.742,5988.4118544893,4.644
708,Ireland,IRL,Europe & Central Asia,High income,2003,34.31,3996521,164285112866.817,78.1390243902,36237.8645384175,1.96
709,Israel,ISR,Middle East & North Africa,High income,2003,19.59,6689700,126864966908.939,79.6487804878,23802.5928603375,2.95
710,Italy,ITA,Europe & Central Asia,High income,2003,29.04,57313203,1569649661399.55,79.9829268293,29081.2937327786,1.29
711,Jamaica,JAM,Latin America & Caribbean,Upper middle income,2003,7.8,2712511,9399447609.1835,72.911,6989.5175195287,2.439
712,Japan,JPN,East Asia & Pacific,High income,2003,48.44,127718000,4445658071221.86,81.76,28924.6821605164,1.29
713,Jersey,NA,NA,NA,2003,22.73,NA,NA,NA,NA,NA
714,Jordan,JOR,Middle East & North Africa,Upper middle income,2003,8.47,5396774,10195660789.8449,72.256,6660.5272329632,3.828
715,Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,2003,2,14909018,30833699702.7594,65.8658536585,11358.2905324272,2.03
716,Kenya,KEN,Sub-Saharan Africa,Lower middle income,2003,2.94,34130852,14904517649.8476,53.413,1771.1792528576,4.977
717,Kiribati,KIR,East Asia & Pacific,Lower middle income,2003,3,88895,90231856.8000519,64.599,1653.6927704483,3.95
718,Korea (Rep. of),NA,NA,NA,2003,65.5,NA,NA,NA,NA,NA
719,Kuwait,KWT,Middle East & North Africa,High income,2003,22.4,2169118,47875838926.1745,73.367,67536.3565627462,2.616
720,Kyrgyzstan,NA,NA,NA,2003,3.91,NA,NA,NA,NA,NA
721,Lao P.D.R.,NA,NA,NA,2003,0.33,NA,NA,NA,NA,NA
722,Latvia,LVA,Europe & Central Asia,High income,2003,26.98,2287955,11748433157.0533,71.2658536585,11026.616130514,1.32
723,Lebanon,LBN,Middle East & North Africa,Upper middle income,2003,8,3701464,20082918739.6352,75.892,10256.4045918022,1.938
724,Lesotho,LSO,Sub-Saharan Africa,Lower middle income,2003,1.53,1918097,1157832934.55127,46.021,1588.5670980795,3.744
725,Liberia,LBR,Sub-Saharan Africa,Low income,2003,0.03,3116233,748000000,53.323,754.2865376333,5.635
726,Libya,LBY,Middle East & North Africa,Upper middle income,2003,2.81,5615952,26265625000,70.97,19294.925065611,2.597
727,Liechtenstein,LIE,Europe & Central Asia,High income,2003,58.81,34321,3070691319.52179,79.9609756098,NA,1.36
728,Lithuania,LTU,Europe & Central Asia,High income,2003,25.91,3415213,18802576988.1557,72.0609756098,12067.7036886722,1.26
729,Luxembourg,LUX,Europe & Central Asia,High income,2003,54.55,451630,29557325056.4334,77.7268292683,60039.2987437538,1.62
730,"Macao, China",NA,NA,NA,2003,25.74,NA,NA,NA,NA,NA
731,Madagascar,MDG,Sub-Saharan Africa,Low income,2003,0.42,17279141,5474030080.24451,60.256,1124.1060166366,5.24
732,Malawi,MWI,Sub-Saharan Africa,Low income,2003,0.28,12336687,3208837077.25069,47.843,684.6914406218,6.003
733,Malaysia,MYS,East Asia & Pacific,Upper middle income,2003,34.97,24688703,110202368421.053,73.242,14408.0291403252,2.438
734,Maldives,MDV,South Asia,Upper middle income,2003,5.98,302209,1052121054.6875,72.603,8915.6860495744,2.508
735,Mali,MLI,Sub-Saharan Africa,Low income,2003,0.31,12005128,4703504466.53245,50.373,1456.1784684383,6.842
736,Malta,MLT,Middle East & North Africa,High income,2003,31.64,398582,5456583589.39342,78.5463414634,20937.6438630918,1.48
737,Marshall Islands,MHL,East Asia & Pacific,Upper middle income,2003,2.57,52116,126887600,NA,2632.8013226591,NA
738,Mauritania,MRT,Sub-Saharan Africa,Lower middle income,2003,0.42,2957117,1563074859.52173,60.381,2302.4470713008,5.283
739,Mauritius,MUS,Sub-Saharan Africa,Upper middle income,2003,12.19,1213370,5609831328.0648,72.121300813,9874.1272436219,1.87
740,Mexico,MEX,Latin America & Caribbean,Upper middle income,2003,12.9,105640453,729336319677.449,75.002,11204.2553964252,2.579
741,Micronesia,NA,NA,NA,2003,9.23,NA,NA,NA,NA,NA
742,Moldova,MDA,Europe & Central Asia,Lower middle income,2003,7.41,3612874,1980901553.51226,67.521,2392.8481594972,1.247
743,Monaco,MCO,Europe & Central Asia,High income,2003,49.49,32933,3588988573.61595,NA,NA,NA
744,Morocco,MAR,Middle East & North Africa,Lower middle income,2003,3.35,29843937,52064058833.9739,70.296,4256.9505157486,2.644
745,Mozambique,MOZ,Sub-Saharan Africa,Low income,2003,0.42,19716598,5597367853.40358,50.007,564.1739894568,5.781
746,Myanmar,MMR,East Asia & Pacific,Lower middle income,2003,0.02,47624894,10467109977.6717,63.046,1507.1349608436,2.827
747,Namibia,NAM,Sub-Saharan Africa,Upper middle income,2003,3.36,1986535,4811994025.98634,53.693,5479.2671439339,3.773
748,Nepal (Republic of),NA,NA,NA,2003,0.38,NA,NA,NA,NA,NA
749,Netherlands,NLD,Europe & Central Asia,High income,2003,64.35,16225302,571863431151.242,78.4926829268,33703.4408746698,1.75
750,New Caledonia,NCL,East Asia & Pacific,High income,2003,26.41,225296,NA,75.2707317073,NA,2.27
751,New Zealand,NZL,East Asia & Pacific,High income,2003,60.96,4027200,88250885550.2626,79.1463414634,23967.4207453945,1.93
752,Nicaragua,NIC,Latin America & Caribbean,Lower middle income,2003,1.88,5240879,5322454925.84746,71.117,2949.2414241863,2.807
753,Niger,NER,Sub-Saharan Africa,Low income,2003,0.16,12656870,2731416346.48158,51.77,658.9302659555,7.642
754,Nigeria,NGA,Sub-Saharan Africa,Lower middle income,2003,0.56,131972533,104911947833.927,47.24,3130.3006673074,6.036
755,Niue,NA,NA,NA,2003,43.13,NA,NA,NA,NA,NA
756,Norway,NOR,Europe & Central Asia,High income,2003,78.13,4564855,228752436371.854,79.3902439024,38533.0879404553,1.8
757,Oman,OMN,Middle East & North Africa,High income,2003,7.26,2385255,21633810143.0429,73.447,35290.289918762,3.142
758,Pakistan,PAK,South Asia,Lower middle income,2003,5.04,147703401,83244801092.7096,63.414,3036.5002755383,4.211
759,Palau,PLW,East Asia & Pacific,Upper middle income,2003,21.6,19700,152765800,NA,10784.952235117,NA
760,Palestine,NA,NA,NA,2003,4.13,NA,NA,NA,NA,NA
761,Panama,PAN,Latin America & Caribbean,Upper middle income,2003,9.99,3209174,13693981200,75.614,9022.2577007914,2.679
762,Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,2003,1.37,6010724,3536411824.2958,62.784,2175.9666368417,4.368
763,Paraguay,PRY,Latin America & Caribbean,Upper middle income,2003,2.11,5607950,7691367471.17992,70.838,6579.177166804,3.21
764,Peru,PER,Latin America & Caribbean,Upper middle income,2003,11.6,26937738,58731030121.8671,71.784,5857.4691111157,2.77
765,Philippines,PHL,East Asia & Pacific,Lower middle income,2003,4.86,83031954,83908206647.9347,67.555,3728.1242123761,3.65
766,Poland,POL,Europe & Central Asia,High income,2003,24.87,38204570,217513049291.61,74.5975609756,12257.1448668074,1.22
767,Portugal,PRT,Europe & Central Asia,High income,2003,29.67,10458821,164964195259.594,77.2195121951,20840.8771855788,1.44
768,Puerto Rico,PRI,Latin America & Caribbean,High income,2003,19.71,3826095,74827400000,78.0712195122,27822.6305033364,1.7624
769,Qatar,QAT,Middle East & North Africa,High income,2003,19.24,688586,23533791208.7912,76.581,90327.4995265601,2.858
770,Romania,ROU,Europe & Central Asia,Upper middle income,2003,8.9,21574326,59867801204.8193,71.3097560976,7820.8657282797,1.3
771,Russian Federation,RUS,Europe & Central Asia,Upper middle income,2003,8.3,144648257,430347770733.155,65.047804878,9254.5602974287,1.32
772,Rwanda,RWA,Sub-Saharan Africa,Low income,2003,0.36,8680346,1846198770.58709,52.268,773.4668425077,5.345
773,Saint Kitts and Nevis,NA,NA,NA,2003,22.97,NA,NA,NA,NA,NA
774,Saint Lucia,NA,NA,NA,2003,20.98,NA,NA,NA,NA,NA
775,Saint Vincent and the Grenadines,NA,NA,NA,2003,6.46,NA,NA,NA,NA,NA
776,Samoa,WSM,East Asia & Pacific,Lower middle income,2003,2.8,177662,338838639.378435,70.314,4161.740040738,4.454
777,San Marino,SMR,Europe & Central Asia,High income,2003,50,28494,1600451467.26862,NA,67247.558332843,NA
778,Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle income,2003,10.16,148372,95544010.7819098,64.021,1763.6164793754,5.123
779,Saudi Arabia,SAU,Middle East & North Africa,High income,2003,8,22556425,215807655253.333,72.948,35541.819713548,3.601
780,Senegal,SEN,Sub-Saharan Africa,Low income,2003,2.1,10670990,8683229268.11979,59.23,2092.5340257955,5.252
781,Seychelles,SYC,Sub-Saharan Africa,High income,2003,14.59,82781,705704816.042365,71.0292682927,14131.1212968352,2.06
782,Sierra Leone,SLE,Sub-Saharan Africa,Low income,2003,0.19,5199549,1385810072.19217,41.669,870.377798536,6.067
783,Singapore,SGP,East Asia & Pacific,High income,2003,53.84,4114826,97001377568.5914,79.0390243902,45795.4425213355,1.27
784,Slovakia,NA,NA,NA,2003,43.04,NA,NA,NA,NA,NA
785,Slovenia,SVN,Europe & Central Asia,High income,2003,31.85,1995733,29697448108.2957,76.8585365854,21133.636591287,1.2
786,Solomon Islands,SLB,East Asia & Pacific,Lower middle income,2003,0.56,446769,332738245.913215,64.971,1341.5153242486,4.578
787,Somalia,SOM,Sub-Saharan Africa,Low income,2003,0.38,9836397,NA,51.761,NA,7.448
788,South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2003,7.01,47648727,175256916996.047,53.481,8424.9163946655,2.729
789,Spain,ESP,Europe & Central Asia,High income,2003,39.93,42187645,906853273137.698,79.6195121951,25055.9747761175,1.3
790,Sri Lanka,LKA,South Asia,Lower middle income,2003,1.46,19215307,18881765437.2151,73.128,4930.3635511017,2.268
791,St. Helena,NA,NA,NA,2003,12.34,NA,NA,NA,NA,NA
792,Sudan,SDN,Sub-Saharan Africa,Lower middle income,2003,0.54,29435944,17646503525.1743,59.582,2154.2227124765,5.268
793,Suriname,SUR,Latin America & Caribbean,Upper middle income,2003,4.72,488332,1274190311.41869,68.239,9033.9540667712,2.745
794,Sweden,SWE,Europe & Central Asia,High income,2003,79.13,8958229,331108912605.271,80.0951219512,31472.7648081708,1.71
795,Switzerland,CHE,Europe & Central Asia,High income,2003,65.1,7339001,352914820747.011,80.5365853659,37713.3683722134,1.39
796,Syrian Arab Republic,SYR,Middle East & North Africa,Lower middle income,2003,3.4,17415266,21828144686.0394,73.967,NA,3.744
797,"Taiwan, Province of China",NA,NA,NA,2003,51.94,NA,NA,NA,NA,NA
798,Tajikistan,TJK,Europe & Central Asia,Lower middle income,2003,0.06,6576877,1555366825.63533,66.727,1266.845015395,3.591
799,Tanzania,TZA,Sub-Saharan Africa,Low income,2003,0.68,37149072,15224257698.4823,54.142,1435.2905552405,5.659
800,Thailand,THA,East Asia & Pacific,Upper middle income,2003,9.3,64554952,152280653543.725,71.424,8853.3879362796,1.595
801,The Former Yugoslav Rep. of Macedonia,NA,NA,NA,2003,19.07,NA,NA,NA,NA,NA
802,Togo,TGO,Sub-Saharan Africa,Low income,2003,1.2,5391401,2111093197.99043,53.935,968.9018734724,5.276
803,Tokelau,NA,NA,NA,2003,1.5,NA,NA,NA,NA,NA
804,Tonga,TON,East Asia & Pacific,Lower middle income,2003,2.99,99789,202543202.004099,71.229,4153.377695352,4.202
805,Trinidad and Tobago,TTO,Latin America & Caribbean,High income,2003,25.97,1284052,11305459802.0683,68.724,19542.6264167095,1.749
806,Tunisia,TUN,Middle East & North Africa,Lower middle income,2003,6.49,9939678,27453084982.5378,73.836,6830.8148302206,2.016
807,Turkey,TUR,Europe & Central Asia,Upper middle income,2003,12.33,66085803,311822906256.246,71.6,9604.4004558639,2.353
808,Turkmenistan,TKM,Europe & Central Asia,Upper middle income,2003,0.43,4655741,5977560877.44013,64.386,4690.851752546,2.698
809,Uganda,UGA,Sub-Saharan Africa,Low income,2003,0.46,26624820,6336696288.98214,50.394,968.779413971,6.716
810,Ukraine,UKR,Europe & Central Asia,Lower middle income,2003,3.15,47812950,50084197498.4529,68.2107317073,5213.0029194649,1.172
811,United Arab Emirates,ARE,Middle East & North Africa,High income,2003,29.48,3741932,124346358066.712,74.968,82080.2741057794,2.33
812,United Kingdom,GBR,Europe & Central Asia,High income,2003,64.82,59647577,2038395102040.82,78.4463414634,30046.0241664623,1.7
813,United States,USA,North America,High income,2003,61.7,290107933,11510670000000,77.0365853659,39677.1983481058,2.0475
814,Uruguay,URY,Latin America & Caribbean,High income,2003,15.94,3325637,12045631092.5353,75.427,9652.0399094313,2.189
815,Uzbekistan,UZB,Europe & Central Asia,Lower middle income,2003,1.91,25567650,10134453435.4603,67.837,2287.8122982405,2.36
816,Vanuatu,VUT,East Asia & Pacific,Lower middle income,2003,3.9,198964,314463144.04219,68.545,2104.9299241437,4.056
817,Venezuela,NA,NA,NA,2003,7.5,NA,NA,NA,NA,NA
818,Viet Nam,NA,NA,NA,2003,3.78,NA,NA,NA,NA,NA
819,Virgin Islands (US),NA,NA,NA,2003,27.43,NA,NA,NA,NA,NA
820,Wallis and Futuna,NA,NA,NA,2003,5.74,NA,NA,NA,NA,NA
821,Yemen,NA,NA,NA,2003,0.6,NA,NA,NA,NA,NA
822,Zambia,ZMB,Sub-Saharan Africa,Lower middle income,2003,0.98,11421984,4901839731.26571,47.33,1915.6498959695,5.915
823,Zimbabwe,ZWE,Sub-Saharan Africa,Low income,2003,1.8,12633897,5727591800,44.188,1783.8844951788,3.989
824,Afghanistan,AFG,South Asia,Low income,2004,0.11,24118979,5226778808.89209,57.875,906.4487731268,6.988
825,Albania,ALB,Europe & Central Asia,Upper middle income,2004,2.42,3026939,7184685781.51876,75.028,5422.7779310031,1.821
826,Algeria,DZA,Middle East & North Africa,Upper middle income,2004,4.63,32831096,85324998813.604,72.281,10174.2545823634,2.438
827,Andorra,AND,Europe & Central Asia,High income,2004,26.84,76244,2935659299.72684,NA,NA,NA
828,Angola,AGO,Sub-Saharan Africa,Upper middle income,2004,0.46,18865716,23552052407.5488,51.676,3948.5541807934,6.502
829,Anguilla,NA,NA,NA,2004,25.04,NA,NA,NA,NA,NA
830,Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2004,24.27,88257,919577142.592592,74.354,16629.5873048694,2.246
831,Argentina,ARG,Latin America & Caribbean,Upper middle income,2004,16.04,38728696,164657930452.787,74.603,12427.7564346829,2.474
832,Armenia,ARM,Europe & Central Asia,Lower middle income,2004,4.9,3000612,3576615240.41616,72.512,4030.9879962838,1.665
833,Aruba,ABW,Latin America & Caribbean,High income,2004,23,98737,2228491620.11173,74.156,34112.0447452215,1.787
834,Austria,AUT,Europe & Central Asia,High income,2004,54.28,8171966,300904221504.842,79.1804878049,33743.0447084692,1.42
835,Bahamas,NA,NA,NA,2004,22,NA,NA,NA,NA,NA
836,Bahrain,BHR,Middle East & North Africa,High income,2004,21.46,829848,13150166755.3191,75.167,37390.9473205245,2.514
837,Bangladesh,BGD,South Asia,Lower middle income,2004,0.2,141307489,65108544250.0425,67.46,1585.8048122093,2.782
838,Barbados,BRB,Latin America & Caribbean,High income,2004,49.8,273091,3514350000,74.004,13454.2194592968,1.755
839,Belgium,BEL,Europe & Central Asia,High income,2004,53.86,10421137,370885026074,78.8780487805,32237.9654121564,1.72
840,Belize,BLZ,Latin America & Caribbean,Upper middle income,2004,9.8,276089,1057845500,68.815,6784.8885139198,3.175
841,Benin,BEN,Sub-Saharan Africa,Low income,2004,1.18,7750004,4521424807.22519,56.887,1516.0695255008,5.691
842,Bermuda,BMU,North America,High income,2004,60.99,63740,4484703000,78.4853658537,47824.059084728,1.78
843,Bhutan,BTN,South Asia,Lower middle income,2004,3.16,640282,702682018.976169,64.126,3733.6004281932,2.954
844,Bolivia (Plurinational State of),NA,NA,NA,2004,4.44,NA,NA,NA,NA,NA
845,Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2004,15.47,3781287,10596205714.2857,75.096,6172.5926980221,1.301
846,Botswana,BWA,Sub-Saharan Africa,Upper middle income,2004,3.3,1829330,8957467706.5354,50.832,9488.3392524832,3.043
847,Brazil,BRA,Latin America & Caribbean,Upper middle income,2004,19.07,184738458,669316654004.294,71.67,10399.4669232691,2.033
848,Brunei Darussalam,BRN,East Asia & Pacific,High income,2004,29.72,359523,7872333215.00414,76.093,72394.3484326957,1.893
849,Bulgaria,BGR,Europe & Central Asia,Upper middle income,2004,18.13,7716860,25957970922.4811,72.5634146341,9122.8489322906,1.33
850,Burkina Faso,BFA,Sub-Saharan Africa,Low income,2004,0.4,13030569,4838551099.70985,52.602,1035.2765466728,6.335
851,Burundi,BDI,Sub-Saharan Africa,Low income,2004,0.35,7182451,915257323.3961,52.437,606.9998075081,6.759
852,Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,2004,5.32,467664,924318490.7598,71.584,3801.0254212718,3.237
853,Cambodia,KHM,East Asia & Pacific,Lower middle income,2004,0.3,13063377,5337833248.03924,62.186,1523.4129672001,3.309
854,Cameroon,CMR,Sub-Saharan Africa,Lower middle income,2004,0.98,16959081,17430933517.2998,52.301,2456.7669072002,5.39
855,Canada,CAN,North America,High income,2004,65.96,31995000,1023196003074.56,79.8926829268,33739.5680708895,1.5258
856,Central African Rep.,NA,NA,NA,2004,0.22,NA,NA,NA,NA,NA
857,Chad,TCD,Sub-Saharan Africa,Low income,2004,0.36,9710043,4414929219.99649,47.848,1366.6708004607,7.147
858,Chile,CHL,Latin America & Caribbean,High income,2004,28.18,15973778,99210392857.6116,77.632,11843.0973020562,2.001
859,China,CHN,East Asia & Pacific,Upper middle income,2004,7.3,1296075000,1955347004963.27,73.642,4454.1451199556,1.554
860,Colombia,COL,Latin America & Caribbean,Upper middle income,2004,9.12,42724163,117074863821.85,72.062,7678.218502455,2.236
861,Comoros,COM,Sub-Saharan Africa,Low income,2004,1.33,597228,632570092.207793,59.904,2038.420313718,5.103
862,Congo (Rep. of the),NA,NA,NA,2004,1.08,NA,NA,NA,NA,NA
863,Costa Rica,CRI,Latin America & Caribbean,Upper middle income,2004,20.79,4187038,18529767918.1536,77.993,9287.2933263441,2.105
864,C�te d'Ivoire,NA,NA,NA,2004,0.85,NA,NA,NA,NA,NA
865,Croatia,HRV,Europe & Central Asia,High income,2004,30.91,4304600,41523418157.6131,75.5202439024,14509.6242715057,1.43
866,Cuba,CUB,Latin America & Caribbean,Upper middle income,2004,8.41,11266941,38203000000,77.663,NA,1.575
867,Cyprus,CYP,Europe & Central Asia,High income,2004,33.83,1010410,17320550000,78.506,25921.2044367465,1.545
868,Czech Republic,CZE,Europe & Central Asia,High income,2004,35.5,10197101,119162172468.268,75.7219512195,20799.157638979,1.23
869,Dem. People's Rep. of Korea,NA,NA,NA,2004,0,NA,NA,NA,NA,NA
870,Dem. Rep. of the Congo,NA,NA,NA,2004,0.2,NA,NA,NA,NA,NA
871,Denmark,DNK,Europe & Central Asia,High income,2004,80.93,5404523,251373036671.062,77.4926829268,32908.6852058751,1.78
872,Djibouti,DJI,Middle East & North Africa,Lower middle income,2004,0.78,770752,666072101.777505,57.677,NA,3.994
873,Dominica,DMA,Latin America & Caribbean,Upper middle income,2004,30.32,70379,367199111.111111,NA,7476.0761927268,NA
874,Dominican Rep.,NA,NA,NA,2004,8.87,NA,NA,NA,NA,NA
875,Ecuador,ECU,Latin America & Caribbean,Upper middle income,2004,4.83,13509647,36591661000,73.937,7168.2665548042,2.828
876,Egypt,NA,NA,NA,2004,11.92,NA,NA,NA,NA,NA
877,El Salvador,SLV,Latin America & Caribbean,Lower middle income,2004,3.2,6000775,13724810900,70.048,5008.3711611742,2.604
878,Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,2004,0.84,724817,4410764338.66733,53.987,24213.9057669643,5.618
879,Estonia,EST,Europe & Central Asia,High income,2004,53.2,1362550,12059201242.236,71.9097560976,14419.4269113124,1.47
880,Eswatini,NA,NA,NA,2004,3.23,1095053,2770082791.50412,45.905,5542.7035126793,3.925
881,Ethiopia,ETH,Sub-Saharan Africa,Low income,2004,0.16,74624405,10131187261.4421,55.172,580.7832716137,5.867
882,Falkland (Malvinas) Is.,NA,NA,NA,2004,67.32,NA,NA,NA,NA,NA
883,Faroe Islands,FRO,Europe & Central Asia,High income,2004,66.53,48143,1683997930.26322,79.1902439024,NA,2.6
884,Fiji,FJI,East Asia & Pacific,Upper middle income,2004,7.41,818354,2727507212.92556,68.243,6387.4739504416,2.907
885,Finland,FIN,Europe & Central Asia,High income,2004,72.39,5228172,196768065557.487,78.7146341463,31118.1466245746,1.8
886,France,FRA,Europe & Central Asia,High income,2004,39.15,62704895,2115742488204.62,80.1634146341,29034.0007086989,1.92
887,French Polynesia,PYF,East Asia & Pacific,High income,2004,17.88,251775,NA,73.766,NA,2.289
888,Gabon,GAB,Sub-Saharan Africa,Upper middle income,2004,2.98,1364205,7756293574.98077,59.512,14516.6940784052,4.274
889,Gambia,NA,NA,NA,2004,3.31,NA,NA,NA,NA,NA
890,Georgia,GEO,Europe & Central Asia,Upper middle income,2004,3.89,3927340,5125362833.31629,72.682,4101.6659133638,1.625
891,Germany,DEU,Europe & Central Asia,High income,2004,64.73,82516260,2819245095604.67,78.6804878049,31417.3633352498,1.36
892,Ghana,GHA,Sub-Saharan Africa,Lower middle income,2004,1.72,20986536,8881368538.07671,58.187,2122.7199328274,4.548
893,Gibraltar,GIB,Europe & Central Asia,High income,2004,32.89,31896,NA,NA,NA,NA
894,Greece,GRC,Europe & Central Asia,High income,2004,21.42,10955141,240521260988.329,79.0390243902,25437.2684267066,1.31
895,Greenland,GRL,Europe & Central Asia,High income,2004,56.1,56911,1825157316.68642,68.8068292683,NA,2.415
896,Grenada,GRD,Latin America & Caribbean,Upper middle income,2004,19.57,102656,599118592.592593,71.213,9081.5816524102,2.373
897,Guam,GUM,East Asia & Pacific,High income,2004,36.16,158099,3857000000,76.362,NA,2.679
898,Guatemala,GTM,Latin America & Caribbean,Lower middle income,2004,5.1,12796925,23965275999.6426,69.437,5358.3880428333,4.11
899,Guernsey,NA,NA,NA,2004,64.52,NA,NA,NA,NA,NA
900,Guinea,GIN,Sub-Saharan Africa,Low income,2004,0.51,9490229,3666349049.42641,52.444,1284.5250045711,5.804
901,Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,2004,1.81,1350345,531109356.165462,53.084,1131.9600642931,5.47
902,Haiti,HTI,Latin America & Caribbean,Low income,2004,5.4,9119178,3537720277.49988,58.86,1344.1260725759,3.853
903,Honduras,HND,Latin America & Caribbean,Lower middle income,2004,5.6,7204153,8772194250.27021,71.341,3077.2807951609,3.57
904,"Hong Kong, China",NA,NA,NA,2004,56.4,NA,NA,NA,NA,NA
905,Hungary,HUN,Europe & Central Asia,High income,2004,27.74,10107146,104066609517.928,72.6487804878,16245.5602811903,1.28
906,Iceland,ISL,Europe & Central Asia,High income,2004,83.88,292074,13722824251.3004,80.9975609756,35319.989644017,2.04
907,India,IND,South Asia,Lower middle income,2004,1.98,1126135777,709148531774.823,64.154,2777.767639163,3.038
908,Indonesia,IDN,East Asia & Pacific,Lower middle income,2004,2.6,223614649,256836875295.452,67.002,5645.8977906459,2.515
909,Iran (Islamic Republic of),NA,NA,NA,2004,7.49,NA,NA,NA,NA,NA
910,Iraq,IRQ,Middle East & North Africa,Upper middle income,2004,0.9,26316609,36627901762.063,68.537,9237.1116762766,4.594
911,Ireland,IRL,Europe & Central Asia,High income,2004,36.99,4070262,193870350136.578,78.5390243902,38669.135813817,1.93
912,Israel,ISR,Middle East & North Africa,High income,2004,22.77,6809000,135445033199.465,80.1463414634,25218.3321876092,2.9
913,Italy,ITA,Europe & Central Asia,High income,2004,33.24,57685327,1798314750434.57,80.7804878049,29447.3535139811,1.34
914,Jamaica,JAM,Latin America & Caribbean,Upper middle income,2004,10,2728777,10150978154.5484,73.167,7233.3996347003,2.398
915,Japan,JPN,East Asia & Pacific,High income,2004,62.39,127761000,4815148854362.11,82.0302439024,30348.0419689178,1.29
916,Jersey,NA,NA,NA,2004,30.68,NA,NA,NA,NA,NA
917,Jordan,JOR,Middle East & North Africa,Upper middle income,2004,11.66,5535595,11411390409.0268,72.427,7243.6625854184,3.784
918,Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,2004,2.65,15012985,43151647002.6096,65.887804878,12702.4112071336,2.21
919,Kenya,KEN,Sub-Saharan Africa,Lower middle income,2004,3.02,35074931,16095337093.8366,54.513,1861.2896216539,4.91
920,Kiribati,KIR,East Asia & Pacific,Lower middle income,2004,3.5,90542,102367039.270481,64.74,1641.0742330184,3.927
921,Korea (Rep. of),NA,NA,NA,2004,72.7,NA,NA,NA,NA,NA
922,Kuwait,KWT,Middle East & North Africa,High income,2004,22.93,2207939,59440108585.0017,73.434,75510.2552187598,2.552
923,Kyrgyzstan,NA,NA,NA,2004,5.09,NA,NA,NA,NA,NA
924,Lao P.D.R.,NA,NA,NA,2004,0.36,NA,NA,NA,NA,NA
925,Latvia,LVA,Europe & Central Asia,High income,2004,38.58,2263122,14373269155.7174,72.0268292683,12214.4294283146,1.29
926,Lebanon,LBN,Middle East & North Africa,Upper middle income,2004,9,3863267,21145518599.8673,76.351,10732.5380020604,1.839
927,Lesotho,LSO,Sub-Saharan Africa,Lower middle income,2004,2.18,1933728,1511236655.52047,46.078,1646.4546810919,3.64
928,Liberia,LBR,Sub-Saharan Africa,Low income,2004,0.03,3176414,897000000,54.084,780.2633267525,5.547
929,Libya,LBY,Middle East & North Africa,Upper middle income,2004,3.53,5704759,33122307692.3077,71.17,20387.6247455966,2.539
930,Liechtenstein,LIE,Europe & Central Asia,High income,2004,64.01,34596,3454362685.96703,81.7707317073,NA,1.44
931,Lithuania,LTU,Europe & Central Asia,High income,2004,31.23,3377075,22649930576.2543,71.9609756098,13031.4926177771,1.27
932,Luxembourg,LUX,Europe & Central Asia,High income,2004,65.88,458095,34685281847.5292,79.1219512195,64051.5559251753,1.66
933,"Macao, China",NA,NA,NA,2004,31.48,NA,NA,NA,NA,NA
934,Madagascar,MDG,Sub-Saharan Africa,Low income,2004,0.53,17802997,4363934494.37405,60.752,1179.9618246669,5.141
935,Malawi,MWI,Sub-Saharan Africa,Low income,2004,0.35,12676038,3476094498.87517,48.735,721.7979207326,5.958
936,Malaysia,MYS,East Asia & Pacific,Upper middle income,2004,42.25,25174109,124749736842.105,73.356,15503.6264327528,2.355
937,Maldives,MDV,South Asia,Upper middle income,2004,6.59,310423,1226829562.5,73.418,9456.5573073664,2.415
938,Mali,MLI,Sub-Saharan Africa,Low income,2004,0.43,12391906,5444474268.42491,51.224,1472.1315761694,6.821
939,Malta,MLT,Middle East & North Africa,High income,2004,34.62,401268,6062780269.0583,79.2536585366,21401.1598503664,1.4
